9	1715
29	899
30	899
40	1903
61	1719
88	1705
89	1706
90	207
91	208
92	209
93	210
95	212
96	213
98	1707
104	899
105	899
135	1714
146	467
147	662
446	1728
447	1729
740	186
741	187
742	188
191	1889
198	1890
199	1891
221	899
243	1720
244	1721
309	331
311	333
363	1717
364	1718
365	1716
366	1723
367	1724
368	1722
369	1904
370	1905
371	1906
372	1907
373	1908
374	1909
393	1892
397	1708
398	1709
399	1710
421	1725
422	1726
667	1730
717	899
718	899
743	899
744	899
900	899
915	899
989	1732
