2	2
70	2
77	2
91	2
117	2
161	2
208	2
248	2
256	2
264	2
270	2
4	4
72	4
93	4
119	4
163	4
210	4
250	4
258	4
272	4
8	8
144	8
177	8
216	8
39	39
178	39
205	39
217	39
103	103
145	103
179	103
218	103
170	192
171	192
172	192
174	192
192	192
196	197
204	197
219	197
1911	197
392	392
458	392
459	392
167	467
254	467
1	467
69	467
76	467
83	467
90	467
116	467
146	467
160	467
168	467
169	467
175	467
207	467
247	467
255	467
263	467
269	467
467	467
1210	467
94	467
468	468
475	468
1260	468
1340	468
3	469
63	469
71	469
78	469
92	469
118	469
162	469
173	469
209	469
249	469
257	469
265	469
271	469
469	469
1203	469
1221	469
6	470
74	470
81	470
95	470
121	470
165	470
212	470
252	470
260	470
267	470
274	470
470	470
1204	470
1222	470
7	471
75	471
82	471
96	471
122	471
166	471
213	471
253	471
261	471
268	471
275	471
471	471
1209	471
1226	471
195	661
206	661
220	661
661	661
1208	661
1910	661
215	662
40	662
68	662
147	662
662	662
1903	662
62	663
369	663
663	663
1904	663
370	664
664	664
1905	664
65	664
64	1155
1155	1155
289	1338
294	1338
299	1338
305	1338
309	1338
315	1338
321	1338
326	1338
331	1338
337	1338
343	1338
349	1338
353	1338
355	1338
371	1338
483	1338
492	1338
651	1338
665	1338
673	1338
709	1338
711	1338
726	1338
728	1338
886	1338
1338	1338
1341	1338
1344	1338
1743	1338
1745	1338
1747	1338
1749	1338
1906	1338
291	1339
295	1339
301	1339
307	1339
311	1339
317	1339
323	1339
327	1339
333	1339
339	1339
345	1339
351	1339
372	1339
484	1339
493	1339
652	1339
666	1339
674	1339
710	1339
712	1339
727	1339
729	1339
887	1339
1339	1339
1342	1339
1345	1339
1744	1339
1746	1339
1748	1339
1750	1339
1907	1339
1716	1716
1730	1716
1717	1717
1723	1717
1718	1718
1724	1718
1719	1719
1728	1719
1731	1731
1733	1731
